Date,Category,Description,Amount,PaymentMethod,Necessity
2024-12-30,Entertainment,NYE Event Ticket,75.00,Credit,Optional
2024-12-30,Dining,Lunch Meeting,32.50,Credit,Essential
2024-12-31,Groceries,Year-End Shop,95.50,Debit,Essential
2024-12-31,Transport,NYE Taxi,35.00,Credit,Optional
2024-12-31,Dining,Morning Coffee,3.75,Cash,Optional
2024-12-31,Shopping,NYE Outfit,125.00,Credit,Optional
2024-12-31,Entertainment,Party Supplies,45.00,Credit,Optional
2024-12-31,Dining,NYE Dinner,150.00,Credit,Optional
2025-01-01,Healthcare,Vitamins,28.99,Debit,Essential
2025-01-01,Transport,Holiday Taxi,22.50,Credit,Optional
2025-01-01,Dining,Hangover Brunch,24.50,Credit,Optional
2025-01-01,Entertainment,Movie Rental,5.99,Credit,Optional
2025-01-01,Groceries,Basic Necessities,45.50,Debit,Essential
2025-01-01,Shopping,New Year Sales,165.00,Credit,Optional
2025-01-01,Dining,Evening Takeaway,28.50,Credit,Optional
2025-01-02,Transport,Fuel,65.50,Debit,Essential
2025-01-02,Dining,Morning Coffee,4.25,Cash,Optional
2025-01-02,Groceries,Fresh Start Shopping,92.40,Debit,Essential
2025-01-02,Shopping,Office Supplies,35.50,Credit,Essential
2025-01-02,Entertainment,Streaming Service,12.99,Credit,Optional
2025-01-02,Dining,Lunch Special,11.50,Debit,Optional
2025-01-03,Utilities,Internet Bill,49.99,Direct Debit,Essential
2025-01-03,Transport,Parking,9.50,Cash,Essential
2025-01-03,Dining,Breakfast,8.50,Cash,Optional
2025-01-03,Groceries,Quick Stop,28.50,Debit,Essential
2025-01-03,Shopping,Home Decor,75.00,Credit,Optional
2025-01-03,Entertainment,Book Purchase,16.99,Credit,Optional
2025-01-03,Dining,Restaurant Dinner,42.50,Credit,Optional
2025-01-04,Transport,Weekend Pass,15.00,Debit,Essential
2025-01-04,Dining,Morning Coffee,4.50,Cash,Optional
2025-01-04,Shopping,Clothes,135.00,Credit,Optional
2025-01-04,Groceries,Weekend Shop,115.50,Debit,Essential
2025-01-04,Entertainment,Cinema Tickets,28.00,Credit,Optional
2025-01-04,Dining,Cinema Snacks,12.50,Cash,Optional
2025-01-05,Healthcare,First Aid Supplies,25.50,Debit,Essential
2025-01-05,Transport,Bus Fare,2.50,Cash,Essential
2025-01-05,Dining,Sunday Brunch,22.50,Credit,Optional
2025-01-05,Groceries,Weekly Shop,88.50,Debit,Essential
2025-01-05,Shopping,Phone Accessories,45.00,Credit,Optional
2025-01-05,Entertainment,Game DLC,14.99,Credit,Optional
2025-01-05,Dining,Dinner with Friends,35.50,Credit,Optional
2025-01-06,Transport,Fuel,68.50,Debit,Essential
2025-01-06,Dining,Morning Coffee,3.75,Cash,Optional
2025-01-06,Shopping,Work Supplies,42.50,Credit,Essential
2025-01-06,Groceries,Quick Stop,32.50,Debit,Essential
2025-01-06,Entertainment,Music Subscription,9.99,Credit,Optional
2025-01-06,Dining,Lunch Special,12.50,Debit,Optional
2025-01-07,Utilities,Phone Bill,45.99,Direct Debit,Essential
2025-01-07,Transport,Taxi to Meeting,22.50,Credit,Essential
2025-01-07,Dining,Breakfast Meeting,16.50,Credit,Essential
2025-01-07,Groceries,Evening Shop,55.50,Debit,Essential
2025-01-07,Shopping,Tech Gadget,165.00,Credit,Optional
2025-01-07,Entertainment,Concert Tickets,95.00,Credit,Optional
2025-01-07,Dining,Takeaway Dinner,18.50,Credit,Optional
